"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.213180541992","110.788177490234","109.440963745117","111.010833740234","109.214302062988","110.839050292969","111.37671661377","114.251152038574","115.211578369141","113.091613769531","113.801788330078","113.794296264648","105.255859375","104.087127685547","116.03929901123","117.108093261719","","","","",
"Afghanistan","AFG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","31.3630409240723","32.2379188537598","32.5303993225098","32.8870315551758","33.4430503845215","34.5559196472168","35.6227111816406","36.5122604370117","38.0569381713867","","44.6856002807617","48.3848114013672","17.587890625","","22.4289608001709","24.416109085083","26.3754806518555","","33.0866012573242","30.7929191589355","29.6989707946777","28.2822399139404","","30.6310596466064","42.3582305908203","45.3852195739746","","","32.6796989440918","26.5091896057129","21.8719501495361","21.7231998443604","71.6497116088867","96.8907165527344","108.499900817871","101.476837158203","104.914390563965","101.782279968262","103.400573730469","99.1636810302734","102.163848876953","99.3715209960938","105.09497833252","105.983871459961","107.36792755127","107.225357055664","","103.923683166504","",
"Angola","AGO","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","54.1026992797852","58.9334983825684","61.1272506713867","66.881706237793","","","","","","135.864562988281","118.810157775879","109.691879272461","98.1827011108398","85.3262329101563","67.5730590820313","72.9544067382813","73.5625381469727","73.2146987915039","74.3480682373047","71.1670303344727","65.5362930297852","63.1637687683105","","","","","","71.0616226196289","","","","","","","","","98.3860321044922","104.510292053223","103.427932739258","105.054588317871","118.651786804199","","","","113.318458557129","","","",
"Albania","ALB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","119.348167419434","","115.00023651123","112.216552734375","107.531387329102","105.064270019531","103.665946960449","102.73445892334","103.692901611328","103.918632507324","103.838851928711","101.758277893066","99.9091796875","99.7858810424805","99.8218307495117","101.630790710449","99.9691314697266","98.9499588012695","101.992469787598","104.537292480469","106.822723388672","108.560577392578","107.712532043457","106.270263671875","104.716613769531","103.473609924316","101.898002624512","100.463317871094","98.603889465332","101.093452453613","98.2705612182617","96.7381820678711","96.0839767456055","93.506477355957","93.8354721069336","95.2204284667969","98.6022186279297","102.268028259277","107.672760009766","109.76244354248","109.777412414551","110.12735748291","",
"Andorra","AND","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","88.6050262451172","","","","","","","","114.375617980957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","66.8176498413086","66.9153671264648","68.4425888061523","69.6620101928711","69.9822082519531","71.3076324462891","73.0493774414063","73.9001770019531","74.1780395507813","75.9328308105469","77.1271667480469","77.3115386962891","78.1511688232422","78.9926834106445","79.9351119995117","79.8720016479492","80.6940078735352","81.7675476074219","82.3648376464844","82.1397094726563","82.8466110229492","83.313362121582","80.7513809204102","81.3085479736328","83.7994232177734","82.5394515991211","84.7392883300781","85.3460235595703","85.9664535522461","87.1662368774414","87.9945602416992","89.038688659668","90.439582824707","91.6506729125977","92.289421081543","92.9493865966797","94.1556167602539","94.8431091308594","95.705436706543","96.3085708618164","96.4903793334961","95.73291015625","97.1779098510742","95.7126388549805","95.1587829589844","95.9665832519531","95.5520782470703","96.0319290161133","",
"United Arab Emirates","ARE","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","79.0411224365234","85.05029296875","86.6803131103516","84.6313171386719","83.6448669433594","93.1336517333984","97.7549591064453","96.3449325561523","92.3490676879883","90.0101776123047","86.9834518432617","90.9796676635742","91.5171966552734","92.2045974731445","91.9029312133789","92.7665023803711","94.2723236083984","97.3695602416992","101.976463317871","105.849586486816","106.443412780762","101.561073303223","98.8632431030273","99.1427001953125","99.8916015625","96.9793319702148","92.9167327880859","89.5815124511719","","","","","","","","","101.537536621094","","","","","101.453727722168","100.363189697266","104.894058227539","113.546508789063","110.871620178223","","",
"Argentina","ARG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","105.64958190918","106.378898620605","105.941680908203","105.529762268066","106.311050415039","106.163848876953","105.860260009766","106.780288696289","106.381736755371","106.827049255371","106.885070800781","107.623977661133","107.776062011719","","105.562423706055","105.470153808594","106.078651428223","106.361289978027","107.025177001953","","106.561592102051","109.086853027344","","","111.944061279297","","111.369400024414","108.268981933594","112.948760986328","116.053558349609","117.363487243652","118.067642211914","118.76197052002","116.503356933594","117.814086914063","117.133293151855","118.838752746582","119.352691650391","119.444183349609","118.21312713623","116.719512939453","114.773109436035","112.979568481445","110.559577941895","109.973167419434","109.926261901855","109.484512329102","","",
"Armenia","ARM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.345497131348","101.140991210938","104.568000793457","96.5057525634766","92.4247512817383","93.2752990722656","126.900230407715","129.164047241211","133.571487426758","98.6637268066406","102.13005065918","95.376106262207","94.2001724243164","94.9227066040039","95.4410629272461","100.155799865723","113.284599304199","114.515449523926","110.845710754395","99.0659637451172","98.4758605957031","98.9332885742188","98.4074325561523","96.7161178588867","94.7756576538086","94.3443298339844","94.1685485839844","",
"American Samoa","ASM","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","School enrollment, primary (% gross)","SE.PRM.ENRR","","","","","","","","","","","","76.6875534057617","93.5364227294922","","86.5832901000977","83.2116165161133","85.1607131958008","81.5728530883789","75.949462890625","71.9057998657227","","","","","102.945426940918","","","","","","","","88.3336486816406","","","97.4384613037109","","","","","114.858909606934","","","","","","","95.8412704467773","95.7674102783203","93.6856079101563","94.0419464111328","91.4182205200195","88.7276077270508","","87.7501678466797","87.6108474731445","","87.6454010009766","",
